/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/11/06 20:44:43 [notice] 19#19: using the "epoll" event method
2024/11/06 20:44:43 [notice] 19#19: nginx/1.27.2
2024/11/06 20:44:43 [notice] 19#19: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/11/06 20:44:43 [notice] 19#19: OS: Linux 5.10.102.2-microsoft-standard
2024/11/06 20:44:43 [notice] 19#19: getrlimit(RLIMIT_NOFILE): 1024:1048576
2024/11/06 20:44:43 [notice] 19#19: start worker processes
2024/11/06 20:44:43 [notice] 19#19: start worker process 46
10.92.0.9 - - [06/Nov/2024:20:45:31 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [06/Nov/2024:20:46:28 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36" "-"
10.92.0.9 - - [06/Nov/2024:20:46:28 +0000] "GET /assets/index-BZjPho-Z.js HTTP/1.1" 200 230980 "http://frontend-app-label.eastus.azurecontainer.io/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36" "-"
10.92.0.9 - - [06/Nov/2024:20:46:28 +0000] "GET /assets/index-B51d7Tnh.css HTTP/1.1" 200 7789 "http://frontend-app-label.eastus.azurecontainer.io/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36" "-"
10.92.0.9 - - [06/Nov/2024:20:46:29 +0000] "GET /vite.svg HTTP/1.1" 200 1497 "http://frontend-app-label.eastus.azurecontainer.io/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36" "-"
10.92.0.10 - - [06/Nov/2024:20:59:50 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
10.92.0.10 - - [06/Nov/2024:21:50:13 +0000] "\x16\x03\x03\x01\xA5\x01\x00\x01\xA1\x03\x03K\xD4\xB3B~\x02\xF8\xBD\xDE\xB2\xE3\xD2!6O\x9F\x81\x03\xBEJY\xD7\xD1l\x03\x11\xC85rL!G pb\xAF\xC3\xD1J\xEC\x18\x9B\x80\xE4\xF3\xBDA\xAB\x0E\x97\x9E(\xCE\x11\xAF\xDD$\xD6\xF0\xDD\x13\xA6\x1F&F\x00\x8A\x00\x16\x003\x00g\xC0\x9E\xC0\xA2\x00\x9E\x009\x00k\xC0\x9F\xC0\xA3\x00\x9F\x00E\x00\xBE\x00\x88\x00\xC4\x00\x9A\xC0\x08\xC0\x09\xC0#\xC0\xAC\xC0\xAE\xC0+\xC0" 400 157 "-" "-" "-"
10.92.0.9 - - [06/Nov/2024:21:50:14 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
10.92.0.9 - - [06/Nov/2024:21:50:58 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
